id,gtin,upc
"1716296537692x898883660792725500","8007403118242",""
"1720640408906x936954575891988500","728360599728",""
"1720640408906x936954575891988500","728360599728",""
"1719500180047x558090799233630200","4548736132580",""
"1720640408906x936954575891988500","728360599728",""
"1720640670274x602158740096942100","4251460611107",""
"1720640670274x602158740096942100","4251460611107",""
"1719500180047x558090799233630200","4548736132580",""
"1719500180047x558090799233630200","4548736132580",""
"1719500611674x759499489003176000","4548736143487",""
"1719500611674x759499489003176000","4548736143487",""
"1719500484384x961611985642848300","4548736158283",""
"1719500484384x961611985642848300","4548736158283",""
"1719500484384x961611985642848300","4548736158283",""
"1720640670274x602158740096942100","4251460611107",""
"1720693002535x125595247442657280","7610497621263",""
"1720693274084x370269487150399500","7610497621607",""
"1720693002535x125595247442657280","7610497621263",""
"1720692705958x633955974467551200","7610497621676",""
"1720693274084x370269487150399500","7610497621607",""
"1720693274084x370269487150399500","7610497621607",""
"1724856385992x147601860239818750","7640115593177",""
"1724312396941x226832733291151360","7640306326089",""
"1724312072536x249010329366036480","7640306328557",""
"1724312072536x249010329366036480","7640306328557",""
"1724312072536x249010329366036480","7640306328557",""
"1724312396941x226832733291151360","7640306326089",""
"1724236939444x492402466932916200","7640439762013",""
"1724311516354x927460419554771000","7640306325662",""
"1724312396941x226832733291151360","7640306326089",""
"1724311516354x927460419554771000","7640306325662",""
"1724236939444x492402466932916200","7640439762013",""
"1724843524290x712137055843909600","7640184590961",""
"1724311516354x927460419554771000","7640306325662",""
"1724249128157x698569896641691600","5060569670729",""
"1707124152764x443242938186596350","4211125102777",""
"1724663449838x460787980021006340","7640184596383",""
"1724839705361x462330418450923500","7610045004388",""
"1724855760335x965694013661249500","7640184591029",""
"1707124152764x443242938186596350","4211125102777",""
"1719500323998x151784642485157900","4548736157088",""
"1707124152764x443242938186596350","4211125102777",""
"1719500323998x151784642485157900","4548736157088",""
"1724663449838x460787980021006340","7640184596383",""
"1724663449838x460787980021006340","7640184596383",""
"1719500323998x151784642485157900","4548736157088",""
"1722947664881x946988204642795500","7640184590404",""
"1722947664881x946988204642795500","7640184590404",""
"1724766761414x793546196574535700","7044876020314",""
"1724916867238x900480791470407700","8056420221978",""
"1724766761414x793546196574535700","7044876020314",""
"1724855996448x782483043673702400","8809686402021",""
"1724918380137x466359473637163000","8051772719647",""
"1725095955146x668110254521712600","3838782029073",""
"1726150112331x602345319652655100","5060944999247",""
"1726150112331x602345319652655100","5060944999247",""
"1726150112331x602345319652655100","5060944999247",""
"1726150463116x218401573806276600","7312795240268",""
"1726150463116x218401573806276600","7312795240268",""
"1724766761414x793546196574535700","7044876020314",""
"1724917742366x991249444227252200","8051772718855",""
"1726150463116x218401573806276600","7312795240268",""
"1723706940546x212954280472084500","8056420221633",""
"1727169386342x877624262813810700","4008789715302",""
"1725011254533x840479323996815400","3838782721830",""
"1725095720667x633719843798384600","838782168895",""
"1727165592988x809355041484046300","4008789716811",""
"1727169386342x877624262813810700","4008789715302",""
"1727165592988x809355041484046300","4008789716811",""
"1727165592988x809355041484046300","4008789716811",""
"1727169386342x877624262813810700","4008789715302",""
"1727168775442x507068952100995100","4008789094636",""
"1727168775442x507068952100995100","4008789094636",""
"1727168775442x507068952100995100","4008789094636",""
"1725352504597x144913165315997700","8720689027342",""
"1725352504597x144913165315997700","8720689027342",""
"1725352660963x940393117448405000","8720689020589",""
"1725352660963x940393117448405000","8720689020589",""
"1725352660963x940393117448405000","8720689020589",""
"1725352504597x144913165315997700","8720689027342",""
"1725352837944x348363564290932740","8710103953890",""
"1725352837944x348363564290932740","8710103953890",""
"1725352837944x348363564290932740","8710103953890",""
"1726667647399x840489258642309100","7630053553746",""
